kinopoiskId,nameRu,nameEn,nameOriginal,countries,genres,ratingKinopoisk,ratingImbd,year,type,posterUrl,posterUrlPreview,userRating
503671,tt1615147,Предел риска,,Margin Call,[{'country': 'США'}],"[{'genre': 'триллер'}, {'genre': 'драма'}]",6.7,7.1,2011,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/503671.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/503671.jpg,7
606675,tt2027128,Лига справедливости: Гибель,,Justice League: Doom,[{'country': 'США'}],"[{'genre': 'фантастика'}, {'genre': 'боевик'}, {'genre': 'фэнтези'}, {'genre': 'мультфильм'}]",7.1,7.4,2012,VIDEO,https://kinopoiskapiunofficial.tech/images/posters/kp/606675.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/606675.jpg,7
667552,tt2205401,Зависимость,,Addicted,[{'country': 'США'}],"[{'genre': 'триллер'}, {'genre': 'драма'}, {'genre': 'мелодрама'}]",5.8,5.0,2014,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/667552.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/667552.jpg,5
663715,tt1951266,Голодные игры: Сойка-пересмешница. Часть II,,The Hunger Games: Mockingjay - Part 2,"[{'country': 'США'}, {'country': 'Франция'}, {'country': 'Германия'}, {'country': 'Канада'}]","[{'genre': 'триллер'}, {'genre': 'фантастика'}, {'genre': 'приключения'}, {'genre': 'боевик'}]",6.6,6.5,2015,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/663715.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/663715.jpg,6
1289334,tt10545296,Голодные игры: Баллада о змеях и певчих птицах,,The Hunger Games: The Ballad of Songbirds & Snakes,[{'country': 'США'}],"[{'genre': 'триллер'}, {'genre': 'драма'}, {'genre': 'фантастика'}, {'genre': 'приключения'}, {'genre': 'боевик'}, {'genre': 'военный'}]",7.4,7.2,2023,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/1289334.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/1289334.jpg,7
86302,tt0423849,Балто 3: Крылья перемен,,Balto III: Wings of Change,[{'country': 'США'}],"[{'genre': 'приключения'}, {'genre': 'мультфильм'}, {'genre': 'семейный'}, {'genre': 'мюзикл'}]",7.2,6.1,2004,VIDEO,https://kinopoiskapiunofficial.tech/images/posters/kp/86302.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/86302.jpg,7
1144300,tt6889470,Yesterday,,Yesterday,"[{'country': 'США'}, {'country': 'Великобритания'}]","[{'genre': 'мелодрама'}, {'genre': 'фэнтези'}, {'genre': 'комедия'}, {'genre': 'музыка'}]",6.9,6.8,2019,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/1144300.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/1144300.jpg,6
79681,tt0281634,Балто 2: В поисках волка,,Balto: Wolf Quest,[{'country': 'США'}],"[{'genre': 'приключения'}, {'genre': 'фэнтези'}, {'genre': 'мультфильм'}, {'genre': 'семейный'}]",7.2,6.0,2001,VIDEO,https://kinopoiskapiunofficial.tech/images/posters/kp/79681.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/79681.jpg,6
4171,tt0120632,Город ангелов,,City of Angels,"[{'country': 'США'}, {'country': 'Германия'}]","[{'genre': 'драма'}, {'genre': 'мелодрама'}, {'genre': 'фэнтези'}]",7.9,6.7,1998,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/4171.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/4171.jpg,7
1309482,tt3811906,Злое,,Malignant,[{'country': 'США'}],"[{'genre': 'детектив'}, {'genre': 'ужасы'}]",6.3,6.2,2021,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/1309482.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/1309482.jpg,4
4382899,tt13560574,X,,,"[{'country': 'США'}, {'country': 'Канада'}]",[{'genre': 'ужасы'}],6.1,6.5,2022,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/4382899.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/4382899.jpg,5
395066,tt0974661,Папе снова 17,,17 Again,[{'country': 'США'}],"[{'genre': 'драма'}, {'genre': 'мелодрама'}, {'genre': 'фэнтези'}, {'genre': 'комедия'}]",7.1,6.4,2009,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/395066.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/395066.jpg,6
883,tt0190138,Девять ярдов,,The Whole Nine Yards,[{'country': 'США'}],"[{'genre': 'криминал'}, {'genre': 'комедия'}]",7.8,6.7,2000,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/883.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/883.jpg,7
6086,tt0119141,Поспешишь — людей насмешишь,,Fools Rush In,[{'country': 'США'}],"[{'genre': 'драма'}, {'genre': 'мелодрама'}, {'genre': 'комедия'}]",7.1,6.1,1997,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/6086.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/6086.jpg,6
749374,tt2560140,Атака титанов,,Shingeki no kyojin,[{'country': 'Япония'}],"[{'genre': 'драма'}, {'genre': 'фантастика'}, {'genre': 'боевик'}, {'genre': 'фэнтези'}, {'genre': 'мультфильм'}, {'genre': 'аниме'}]",8.7,9.1,2013,TV_SERIES,https://kinopoiskapiunofficial.tech/images/posters/kp/749374.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/749374.jpg,6
578945,tt1426329,Лавлэйс,,Lovelace,[{'country': 'США'}],"[{'genre': 'драма'}, {'genre': 'биография'}]",6.4,6.2,2013,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/578945.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/578945.jpg,4
1285518,tt9914942,Жизнь без Сары Амат,,La vida sense la Sara Amat,[{'country': 'Испания'}],[{'genre': 'драма'}],,6.6,2019,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/1285518.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/1285518.jpg,4
1316565,,Время приключений: Далёкие земли,,Adventure Time: Distant Lands,[{'country': 'США'}],"[{'genre': 'фантастика'}, {'genre': 'приключения'}, {'genre': 'боевик'}, {'genre': 'фэнтези'}, {'genre': 'комедия'}, {'genre': 'мультфильм'}, {'genre': 'семейный'}, {'genre': 'мюзикл'}]",8.1,8.7,2020,MINI_SERIES,https://kinopoiskapiunofficial.tech/images/posters/kp/1316565.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/1316565.jpg,7
952158,tt4589218,Пять ночей с Фредди,,Five Nights at Freddy's,[{'country': 'США'}],"[{'genre': 'драма'}, {'genre': 'ужасы'}]",5.9,5.5,2023,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/952158.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/952158.jpg,5
1077781,tt5537002,Убийцы цветочной луны,,Killers of the Flower Moon,[{'country': 'США'}],"[{'genre': 'драма'}, {'genre': 'криминал'}, {'genre': 'история'}]",7.3,7.9,2023,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/1077781.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/1077781.jpg,7
376,tt0064116,Однажды на Диком Западе,,C'era una volta il West,"[{'country': 'США'}, {'country': 'Италия'}]","[{'genre': 'драма'}, {'genre': 'вестерн'}, {'genre': 'боевик'}]",8.0,8.5,1968,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/376.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/376.jpg,7
3661,tt0116329,Летите домой,,Fly Away Home,[{'country': 'США'}],"[{'genre': 'драма'}, {'genre': 'приключения'}, {'genre': 'семейный'}]",7.6,6.9,1996,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/3661.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/3661.jpg,6
1245693,tt9866072,Пара на праздники,,Holidate,[{'country': 'США'}],"[{'genre': 'мелодрама'}, {'genre': 'комедия'}]",6.6,6.1,2020,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/1245693.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/1245693.jpg,5
4309488,tt12921446,Изгоняющий дьявола: Верующий,,The Exorcist: Believer,[{'country': 'США'}],[{'genre': 'ужасы'}],5.2,4.8,2023,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/4309488.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/4309488.jpg,3
143103,tt0049902,"Приговоренный к смерти бежал, или Дух веет, где хочет",,Un condamné à mort s'est échappé ou Le vent souffle où il veut,[{'country': 'Франция'}],"[{'genre': 'триллер'}, {'genre': 'драма'}, {'genre': 'военный'}]",7.9,8.2,1956,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/143103.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/143103.jpg,7
843859,tt4154664,Капитан Марвел,,Captain Marvel,"[{'country': 'США'}, {'country': 'Австралия'}]","[{'genre': 'фантастика'}, {'genre': 'приключения'}, {'genre': 'боевик'}]",6.5,6.8,2019,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/843859.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/843859.jpg,2
595938,tt1981115,Тор 2: Царство тьмы,,Thor: The Dark World,[{'country': 'США'}],"[{'genre': 'приключения'}, {'genre': 'боевик'}, {'genre': 'фэнтези'}]",7.2,6.8,2013,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/595938.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/595938.jpg,5
409600,tt1211837,Доктор Стрэндж,,Doctor Strange,[{'country': 'США'}],"[{'genre': 'фантастика'}, {'genre': 'приключения'}, {'genre': 'боевик'}, {'genre': 'фэнтези'}]",7.5,7.5,2016,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/409600.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/409600.jpg,6
1219909,tt9419884,Доктор Стрэндж: В мультивселенной безумия,,Doctor Strange in the Multiverse of Madness,[{'country': 'США'}],"[{'genre': 'фантастика'}, {'genre': 'приключения'}, {'genre': 'боевик'}, {'genre': 'фэнтези'}, {'genre': 'ужасы'}]",6.5,6.9,2022,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/1219909.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/1219909.jpg,5
5080630,tt21807222,Пила 10,,Saw X,"[{'country': 'США'}, {'country': 'Канада'}, {'country': 'Мексика'}]","[{'genre': 'триллер'}, {'genre': 'ужасы'}]",6.6,6.7,2023,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/5080630.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/5080630.jpg,5
824402,,Защитник,,The Whole Truth,[{'country': 'США'}],"[{'genre': 'триллер'}, {'genre': 'драма'}, {'genre': 'криминал'}, {'genre': 'детектив'}]",6.6,6.2,2015,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/824402.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/824402.jpg,6
1290226,,Учитель,,A Teacher,[{'country': 'США'}],[{'genre': 'драма'}],6.8,6.9,2020,MINI_SERIES,https://kinopoiskapiunofficial.tech/images/posters/kp/1290226.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/1290226.jpg,6
4961757,tt21364552,Криминальный город: Разборки в Пусане,,Beomjoe dosi 3,[{'country': 'Корея Южная'}],"[{'genre': 'триллер'}, {'genre': 'криминал'}, {'genre': 'детектив'}, {'genre': 'боевик'}]",7.6,6.6,2023,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/4961757.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/4961757.jpg,6
771381,tt2980648,Пряности и страсти,,The Hundred-Foot Journey,"[{'country': 'США'}, {'country': 'Индия'}, {'country': 'ОАЭ'}]","[{'genre': 'драма'}, {'genre': 'мелодрама'}, {'genre': 'комедия'}]",7.5,7.3,2014,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/771381.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/771381.jpg,5
64451,tt0383534,Ноэль,,Noel,"[{'country': 'США'}, {'country': 'Канада'}]",[{'genre': 'драма'}],7.0,6.1,2004,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/64451.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/64451.jpg,6
577558,tt1806954,Потерянное Рождество,,Lost Christmas,[{'country': 'Великобритания'}],"[{'genre': 'драма'}, {'genre': 'семейный'}]",7.3,7.0,2011,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/577558.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/577558.jpg,6
1169291,tt15838850,Криминальный город 2,,Beomjoе dosi 2,[{'country': 'Корея Южная'}],"[{'genre': 'триллер'}, {'genre': 'криминал'}, {'genre': 'детектив'}, {'genre': 'боевик'}]",7.5,7.0,2022,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/1169291.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/1169291.jpg,6
5198,tt0087800,Кошмар на улице Вязов,,A Nightmare on Elm Street,[{'country': 'США'}],[{'genre': 'ужасы'}],7.7,7.4,1984,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/5198.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/5198.jpg,7
1045942,tt7468056,Криминальный город,,Beomjoe dosi,[{'country': 'Корея Южная'}],"[{'genre': 'триллер'}, {'genre': 'криминал'}, {'genre': 'детектив'}, {'genre': 'боевик'}]",7.3,7.2,2017,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/1045942.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/1045942.jpg,6
